"ts";"ad_bat";"bme280_altitud";"bme280_humedad";"bme280_presion";"bme280_temperatura";"level_bat"
"2018-12-15T23:42:09.773";658.0;472.243;55.0;957.79;21.56;102.0
"2018-12-16T00:39:40.655";655.0;476.862;58.0;957.26;20.15;100.0
"2018-12-16T01:37:59.961";657.0;484.71;58.0;956.36;19.93;101.0
"2018-12-16T02:36:20.973";654.0;483.751;58.0;956.47;19.77;100.0
"2018-12-16T03:34:45.106";654.0;485.669;58.0;956.25;19.67;100.0
"2018-12-16T04:33:12.210";653.0;488.023;58.0;955.98;19.61;99.0
"2018-12-16T05:31:20.537";654.0;491.952;58.0;955.53;19.54;100.0
"2018-12-16T06:29:44.162";651.0;488.2;58.0;955.96;19.48;98.0
"2018-12-16T07:28:08.835";653.0;485.407;57.0;956.28;19.54;99.0
"2018-12-16T08:26:36.190";652.0;485.756;57.0;956.24;19.89;98.0
"2018-12-16T09:25:02.914";649.0;475.554;57.0;957.41;20.06;97.0
"2018-12-16T10:23:29.162";653.0;468.845;57.0;958.18;20.13;99.0
"2018-12-16T11:21:48.203";650.0;458.921;56.0;959.32;20.18;97.0
"2018-12-16T12:20:03.035";649.0;464.232;57.0;958.71;20.09;97.0
"2018-12-16T13:18:23.134";649.0;455.964;58.0;959.66;19.79;97.0
"2018-12-16T14:16:45.489";646.0;457.095;57.0;959.53;19.64;95.0
"2018-12-16T15:15:06.113";648.0;446.66;57.0;960.73;19.52;96.0
"2018-12-16T16:13:29.825";648.0;436.67;56.0;961.88;19.52;96.0
"2018-12-16T17:11:54.016";648.0;431.462;56.0;962.48;19.62;96.0
"2018-12-16T18:10:18.099";646.0;422.787;56.0;963.48;19.64;95.0
"2018-12-16T19:08:39.265";646.0;417.328;56.0;964.11;19.7;95.0
"2018-12-16T20:07:04.063";646.0;409.789;56.0;964.98;19.75;95.0
"2018-12-16T21:05:30.082";646.0;405.633;56.0;965.46;19.84;95.0
"2018-12-16T22:03:50.833";645.0;399.577;58.0;966.16;19.87;95.0
"2018-12-16T23:02:00.313";642.0;399.318;58.0;966.19;19.81;93.0
"2018-12-17T00:00:22.065";645.0;396.118;58.0;966.56;19.63;95.0
"2018-12-17T00:58:44.691";644.0;393.954;57.0;966.81;19.49;94.0
"2018-12-17T01:57:07.182";650.0;398.626;57.0;966.27;19.37;97.0
"2018-12-17T02:55:31.249";644.0;390.582;56.0;967.2;19.3;94.0
"2018-12-17T03:53:53.287";644.0;387.818;56.0;967.52;19.23;94.0
"2018-12-17T04:52:18.112";640.0;390.67;56.0;967.19;19.16;92.0
"2018-12-17T05:50:30.966";642.0;391.708;55.0;967.07;19.09;93.0
"2018-12-17T06:48:53.459";643.0;385.485;56.0;967.79;19.01;94.0
"2018-12-17T07:47:21.752";642.0;381.34;56.0;968.27;18.98;93.0
